"Category","Asset slot / id","Filename","Name","Details","Dimensions","Art brief","Status"
"Rune card","rune-tempest","rune-tempest.png","Tempest","Air · Chain · rare · glyph ⌇","512x512 (in 5:7 card)","+1 power per other Air rune in your hand or deck. Air-palette glow.","TODO"
"Rune card","rune-eclipse","rune-eclipse.png","Eclipse","Shadow · Sigil · rare · glyph ☋","512x512 (in 5:7 card)","True damage — your spell pierces all armor this turn. Shadow-palette glow.","TODO"
"Rune card","rune-recursion","rune-recursion.png","Recursion","Order · Spiral · mythic · glyph ∾","512x512 (in 5:7 card)","Triggers itself once. Stacks with other Recursions. Order-palette glow.","TODO"
"Rune card","rune-pandemonium","rune-pandemonium.png","Pandemonium","Chaos · Sigil · mythic · glyph ⚝","512x512 (in 5:7 card)","Every rune in your hand also fires this turn. Chaos-palette glow.","TODO"
"Rune card","rune-singularity","rune-singularity.png","Singularity","Void · Burst · mythic · glyph ⊙","512x512 (in 5:7 card)","Multiplies all damage by your hand size. Void-palette glow.","TODO"
"Rune card","rune-aurora","rune-aurora.png","Aurora","Light · Pulse · mythic · glyph ❂","512x512 (in 5:7 card)","×5 damage if all three slots are different elements. Light-palette glow.","TODO"
"Rune card","rune-crescendo","rune-crescendo.png","Crescendo","Order · Chain · rare · glyph ⋰","512x512 (in 5:7 card)","XMULT ×(1 + 6% of all power inscribed before it). Reward for going last. Order-palette glow.","TODO"
"Rune card","rune-culminate","rune-culminate.png","Culminate","Void · Burst · mythic · glyph ⤢","512x512 (in 5:7 card)","XMULT ×(1 + 11% of all power inscribed before it). The final word. Void-palette glow.","TODO"
"Rune card","rune-squall","rune-squall.png","Squall","Air · Chain · uncommon · glyph ⌁","512x512 (in 5:7 card)","+1 power per other Air rune in the spell, ×2 if it is in slot III. Air-palette glow.","TODO"
"Rune card","rune-undertow","rune-undertow.png","Undertow","Water · Wave · rare · glyph ≈","512x512 (in 5:7 card)","+1 power to every later rune for each Water rune placed before it. Water-palette glow.","TODO"
"Rune card","rune-umbral","rune-umbral.png","Umbral Knot","Shadow · Spiral · rare · glyph ⊗","512x512 (in 5:7 card)","KEYSTONE · globalMult ×1.6 if any earlier rune has basePower ≥ 3. Shadow-palette glow.","TODO"
"Rune card","rune-lumen","rune-lumen.png","Lumen","Light · Burst · mythic · glyph ❉","512x512 (in 5:7 card)","KEYSTONE · XMULT ×(1 + 8% of all power inscribed before it). Place last. Light-palette glow.","TODO"
"Enemy portrait","enemy-cinder","enemy-cinder.png","Cinder","tier 1 · shadow · glyph ⌬","512² round","A reluctant spark. shadow mood.","TODO"
"Enemy portrait","enemy-wisp","enemy-wisp.png","Wisp","tier 1 · air · glyph ◌","512² round","Half here, half elsewhere. air mood.","TODO"
"Enemy portrait","enemy-fenmote","enemy-fenmote.png","Fenmote","tier 1 · earth · glyph ⌖","512² round","Stubborn. Lichen-clad. earth mood.","TODO"
"Enemy portrait","enemy-wight","enemy-wight.png","Hollow Wight","tier 2 · void · glyph ⌘","512² round","A grammar of teeth. void mood.","TODO"
"Enemy portrait","enemy-sirenshade","enemy-sirenshade.png","Sirenshade","tier 2 · water · glyph ⌭","512² round","Sings in the wrong key. water mood.","TODO"
"Enemy portrait","enemy-revenant","enemy-revenant.png","Brass Revenant","tier 3 · order · armored · glyph ❖","512² round","It remembers being a bell. Its brass turns aside soft blows. order mood.","TODO"
"Enemy portrait","enemy-glasswyrm","enemy-glasswyrm.png","Glass Wyrm","tier 3 · chaos · armored · glyph ☖","512² round","Counts your reflections. chaos mood.","TODO"
"Enemy portrait","enemy-sovereign","enemy-sovereign.png","The Sovereign","tier 4 · void · armored · BOSS · glyph ✺","1024² round","It signed your name first. void mood, imposing final-boss presence.","TODO"
"Relic","relic-inkwell","relic-inkwell.png","The Eternal Inkwell","common","256² icon","+1 POWER to the first rune in every spell. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-gilded-leaf","relic-gilded-leaf.png","Gilded Leaf","common","256² icon","+0.4 XMULT if the spell uses 3 runes. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-ashen-quill","relic-ashen-quill.png","Ashen Quill","uncommon","256² icon","Fire & Chaos runes deal ×1.5 in their slot. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-hourglass","relic-hourglass.png","Broken Hourglass","uncommon","256² icon","+6% XMULT per rune in your hand (up to 5). Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-serpent-coil","relic-serpent-coil.png","Serpent's Coil","rare","256² icon","Order-dependent runes scale 60% harder. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-unseen-hand","relic-unseen-hand.png","The Unseen Hand","rare","256² icon","Same-element triples gain an extra ×1.5 XMULT. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-final-page","relic-final-page.png","The Final Page","mythic","256² icon","High XMULT (≥2.5) is raised to the 1.4 power; a weaker spell instead gains +0.5 XMULT. Costs globalMult ×0.85. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-tidal-ledger","relic-tidal-ledger.png","The Tidal Ledger","common","256² icon","+2 POWER to the first rune while you are below half HP. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-whisper-glass","relic-whisper-glass.png","Whisper Glass","common","256² icon","Shadow & Light runes deal ×1.4 in their slot. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-updraft-fan","relic-updraft-fan.png","The Updraft Fan","uncommon","256² icon","+0.6 XMULT if every rune in the spell is a different shape. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-salt-circle","relic-salt-circle.png","The Salt Circle","uncommon","256² icon","+2 POWER to every later rune that shares slot I’s element. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-low-lantern","relic-low-lantern.png","The Low Lantern","uncommon","256² icon","Lean casting: spells of 2 or fewer runes gain XMULT ×2.6. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-riptide-knot","relic-riptide-knot.png","The Riptide Knot","rare","256² icon","Each rune past the first adds +0.20 XMULT. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-mourning-bell","relic-mourning-bell.png","The Mourning Bell","rare","256² icon","If the spell heals or lifesteals, XMULT ×1.6. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-storm-sigil","relic-storm-sigil.png","The Storm Sigil","rare","256² icon","KEYSTONE. Air runes pierce armor & deal true damage; +0.25 XMULT per Air rune. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-twin-eclipse","relic-twin-eclipse.png","The Twin Eclipse","mythic","256² icon","KEYSTONE. XMULT raised to the 1.5 power; no bonus draw this turn; globalMult ×0.8. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic","relic-undertow-anchor","relic-undertow-anchor.png","The Undertow Anchor","mythic","256² icon","KEYSTONE. 3-rune spells retrigger 25% (globalMult ×0.9); smaller spells globalMult ×0.5. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic (transmutation reward)","relic-tx-fire","relic-tx-fire.png","Wildfire Ascendant","mythic · hidden reward","256² icon","Transmutation: every Fire rune +2 POWER. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic (transmutation reward)","relic-tx-order","relic-tx-order.png","The Bound Law","mythic · hidden reward","256² icon","Transmutation: same-element XMULT ×1.5 extra. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic (transmutation reward)","relic-tx-void","relic-tx-void.png","The Open Void","mythic · hidden reward","256² icon","Transmutation: +0.5 flat XMULT per rune in hand. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic (transmutation reward)","relic-tx-tide","relic-tx-tide.png","The Endless Reservoir","mythic · hidden reward","256² icon","Transmutation: Water runes +1 POWER and the spell heals +3. Ornate artifact icon, rarity-tinted frame.","TODO"
"Relic (transmutation reward)","relic-tx-air","relic-tx-air.png","The Eye of the Storm","mythic · hidden reward","256² icon","Transmutation: +0.4 XMULT per Air rune in hand or deck. Ornate artifact icon, rarity-tinted frame.","TODO"
"Sigil","sigil-free","sigil-free.png","Free Inscription","","512² emblem","No bond, no ban. The classic codex. Heraldic bond-emblem, wax-seal feel.","TODO"
"Sigil","sigil-ember","sigil-ember.png","The Emberheart","","512² emblem","Fire spells ×1.12 & a Fire-rich pool. Water runes are sealed. Heraldic bond-emblem, wax-seal feel.","TODO"
"Sigil","sigil-order","sigil-order.png","The Clockwork Vow","","512² emblem","Same-element XMULT ×1.2 (pair) / ×1.4 (triple). Chaos sealed. Heraldic bond-emblem, wax-seal feel.","TODO"
"Sigil","sigil-void","sigil-void.png","The Hungering Maw","","512² emblem","Void spells XMULT ×1.12. Start at 38 HP. Light runes sealed. Heraldic bond-emblem, wax-seal feel.","TODO"
"Sigil","sigil-tide","sigil-tide.png","The Tidemother","","512² emblem","Water spells XMULT ×1.14, ×1.30 if 2+ Water. 56 HP. Fire sealed. Heraldic bond-emblem, wax-seal feel.","TODO"
"Sigil","sigil-zephyr","sigil-zephyr.png","The Stormcaller","","512² emblem","Air spells globalMult ×1.18; +retrigger on a pure Air triple. Earth sealed. Heraldic bond-emblem, wax-seal feel.","TODO"
"Sigil","sigil-umbra","sigil-umbra.png","The Eclipsed Crown","","512² emblem","Shadow/Light XMULT ×1.16; ×1.40 if the spell mixes both. 44 HP. Order sealed. Heraldic bond-emblem, wax-seal feel.","TODO"
"Champion","champion-pyre-heart","champion-pyre-heart.png","Pyre Heart","Champion: if the spell has any Fire rune, globalMult ×(1 + 0.32 × level).","512² portrait","Patron avatar, half-length heraldic portrait.","TODO"
"Champion","champion-true-name","champion-true-name.png","The True Name","Champion: same-element XMULT ×(1 + 0.12 × level), doubled on a mono triple.","512² portrait","Patron avatar, half-length heraldic portrait.","TODO"
"Champion","champion-event-horizon","champion-event-horizon.png","Event Horizon","Champion: XMULT ×(1 + level × 0.16 × handSize / 5).","512² portrait","Patron avatar, half-length heraldic portrait.","TODO"
"Champion","champion-deep-current","champion-deep-current.png","The Deep Current","Champion: XMULT ×(1 + 0.13 × level) per Water rune in the spell (cap 3).","512² portrait","Patron avatar, half-length heraldic portrait.","TODO"
"Champion","champion-gale-crown","champion-gale-crown.png","The Gale Crown","Champion: globalMult ×(1 + 0.20 × level) if the spell has any Air rune.","512² portrait","Patron avatar, half-length heraldic portrait.","TODO"
"Champion","champion-penumbra","champion-penumbra.png","The Penumbra","Champion: XMULT ×(1 + 0.15 × level) if the spell holds both Shadow and Light.","512² portrait","Patron avatar, half-length heraldic portrait.","TODO"
"Transmutation crest","tx-fire","tx-fire.png","Wildfire Ascendant","triad: ember + surge + wildfire","512² crest","Fused crest of ember + surge + wildfire; radiant, ""ascended"".","TODO"
"Transmutation crest","tx-order","tx-order.png","The Bound Law","triad: tally + echo + recursion","512² crest","Fused crest of tally + echo + recursion; radiant, ""ascended"".","TODO"
"Transmutation crest","tx-void","tx-void.png","The Open Void","triad: hollow + sympathy + singularity","512² crest","Fused crest of hollow + sympathy + singularity; radiant, ""ascended"".","TODO"
"Transmutation crest","tx-tide","tx-tide.png","The Endless Reservoir","triad: drop + cascade + tidewall","512² crest","Fused crest of drop + cascade + tidewall; radiant, ""ascended"".","TODO"
"Transmutation crest","tx-air","tx-air.png","The Eye of the Storm","triad: gust + drift + squall","512² crest","Fused crest of gust + drift + squall; radiant, ""ascended"".","TODO"
"Logo","title-mark","title-mark.png","Title Mark","","1024x1024 (transparent)","Central ritual mark / logo sigil; reads at 200px inside a gold circle; dramatic, symmetrical, mystical.","TODO"
"Background","bg-tier1","bg-tier1.png","Biome — Threshold","","1080x1920 (portrait)","Tier-1 backdrop: a candlelit scriptorium threshold. Dark, warm, low detail so the card UI reads on top.","TODO"
"Background","bg-tier2","bg-tier2.png","Biome — The Deeps","","1080x1920 (portrait)","Tier-2 backdrop: flooded lower stacks / drowned library. Cool teal, moody.","TODO"
"Background","bg-tier3","bg-tier3.png","Biome — The Works","","1080x1920 (portrait)","Tier-3 backdrop: brass clockwork archive. Amber, ordered, ominous.","TODO"
"Background","bg-boss","bg-boss.png","Biome — The Signatory","","1080x1920 (portrait)","Boss backdrop for The Sovereign: a vast void-lit contract chamber. Purple-black, awe.","TODO"
"Card frame","frame-common","frame-common.png","Card Frame — Common","","512x716 (9-slice)","Parchment 5:7 card border, restrained.","TODO"
"Card frame","frame-uncommon","frame-uncommon.png","Card Frame — Uncommon","","512x716 (9-slice)","As common with a verdigris accent.","TODO"
"Card frame","frame-rare","frame-rare.png","Card Frame — Rare","","512x716 (9-slice)","As common with a violet accent + subtle filigree.","TODO"
"Card frame","frame-mythic","frame-mythic.png","Card Frame — Mythic","","512x716 (9-slice)","Ornate gold frame, animated-glow ready.","TODO"
"UI icon","ui-hp","ui-hp.png","HUD — Health","","64x64 (transparent)","Heart / life-glyph for the HP readout.","TODO"
"UI icon","ui-fluency","ui-fluency.png","HUD — Fluency","","64x64 (transparent)","The ✦ fluency mark (stacking damage boost).","TODO"
"UI icon","ui-armor","ui-armor.png","HUD — Armor","","64x64 (transparent)","The ⛊ armor/ward shield used in enemy + breakdown UI.","TODO"
"UI icon","ui-intent-attack","ui-intent-attack.png","Intent — Attack","","64x64 (transparent)","Enemy ATTACK telegraph glyph.","TODO"
"UI icon","ui-intent-charge","ui-intent-charge.png","Intent — Charge","","64x64 (transparent)","Enemy CHARGING→UNLEASH telegraph glyph.","TODO"
"UI icon","ui-intent-mend","ui-intent-mend.png","Intent — Mend","","64x64 (transparent)","Enemy MEND (heals + strikes) telegraph glyph.","TODO"
